Export File Created with QBlade v0.963 64bit on 16.05.2021 at 12:34:27
         CD = 1.2      360 Polar     T1_Re0.050_M0.00_N9.0 360 M
Alpha [deg];Cd;Alpha [deg];Cd;
     1,42000e+02;     1,20000e+00;     1,14000e+02;     1,50839e+00;
     1,43000e+02;     1,20000e+00;     1,15000e+02;     1,48420e+00;
     1,44000e+02;     1,20000e+00;     1,16000e+02;     1,45931e+00;
     1,45000e+02;     1,20000e+00;     1,17000e+02;     1,43374e+00;
     1,46000e+02;     1,20000e+00;     1,18000e+02;     1,40752e+00;
     1,47000e+02;     1,20000e+00;     1,19000e+02;     1,38070e+00;
     1,48000e+02;     1,20000e+00;     1,20000e+02;     1,35330e+00;
     1,49000e+02;     1,20000e+00;     1,21000e+02;     1,32536e+00;
     1,50000e+02;     1,20000e+00;     1,22000e+02;     1,29691e+00;
     1,51000e+02;     1,20000e+00;     1,23000e+02;     1,26799e+00;
     1,52000e+02;     1,20000e+00;     1,24000e+02;     1,23863e+00;
     1,53000e+02;     1,20000e+00;     1,25000e+02;     1,20888e+00;
     1,54000e+02;     1,20000e+00;     1,26000e+02;     1,17877e+00;
     1,55000e+02;     1,20000e+00;     1,27000e+02;     1,14833e+00;
     1,56000e+02;     1,20000e+00;     1,28000e+02;     1,11761e+00;
     1,57000e+02;     1,20000e+00;     1,29000e+02;     1,08664e+00;
     1,58000e+02;     1,20000e+00;     1,30000e+02;     1,05546e+00;
     1,59000e+02;     1,20000e+00;     1,31000e+02;     1,02412e+00;
     1,60000e+02;     1,20000e+00;     1,32000e+02;     9,92644e-01;
     1,61000e+02;     1,20000e+00;     1,33000e+02;     9,61077e-01;
     1,62000e+02;     1,20000e+00;     1,34000e+02;     9,29458e-01;
     1,63000e+02;     1,20000e+00;     1,35000e+02;     8,97825e-01;
     1,64000e+02;     1,20000e+00;     1,36000e+02;     8,66219e-01;
     1,65000e+02;     1,20000e+00;     1,37000e+02;     8,34678e-01;
     1,66000e+02;     1,20000e+00;     1,38000e+02;     8,03240e-01;
     1,67000e+02;     1,20000e+00;     1,39000e+02;     7,71944e-01;
     1,68000e+02;     1,20000e+00;     1,40000e+02;     7,40829e-01;
     1,69000e+02;     1,20000e+00;     1,41000e+02;     7,09932e-01;
     1,70000e+02;     1,20000e+00;     1,42000e+02;     6,79291e-01;
     1,71000e+02;     1,20000e+00;     1,43000e+02;     6,48944e-01;
     1,72000e+02;     1,20000e+00;     1,44000e+02;     6,18927e-01;
     1,73000e+02;     1,20000e+00;     1,45000e+02;     5,89277e-01;
     1,74000e+02;     1,20000e+00;     1,46000e+02;     5,60029e-01;
     1,75000e+02;     1,20000e+00;     1,47000e+02;     5,31219e-01;
     1,76000e+02;     1,20000e+00;     1,48000e+02;     5,02881e-01;
